,link,text,date,No_of_Likes,No_of_tweets
64,https://twitter.com/BBCNews/status/1820084112494919773#m,Fermanagh beat Louth to win All-Ireland junior title https://bbc.in/3yg6JAd,"Aug 4, 2024 · 1:07 PM UTC",43,38
65,https://twitter.com/BBCNews/status/1820080656036114805#m,Why are there so many fast-food offers on? https://bbc.in/3yqDpa3,"Aug 4, 2024 · 12:53 PM UTC",68,87
66,https://twitter.com/BBCNews/status/1820078969498083571#m,The woman who left Britain to parachute into Nazi-occupied Poland https://bbc.in/46wEOZk,"Aug 4, 2024 · 12:46 PM UTC",107,32
67,https://twitter.com/BBCNews/status/1820077748494217551#m,Police called to save cat with jar stuck on head https://bbc.in/4fpJ9lf,"Aug 4, 2024 · 12:42 PM UTC",282,72
68,https://twitter.com/BBCNews/status/1820077219751813213#m,Former Wales flanker Carter dies aged 59 https://bbc.in/4fzLJFp,"Aug 4, 2024 · 12:39 PM UTC",36,19
69,https://twitter.com/BBCNews/status/1820076673485742378#m,BBC starts removing Huw Edwards from archives https://bbc.in/4cbO1HG,"Aug 4, 2024 · 12:37 PM UTC",96,0
70,https://twitter.com/BBCNews/status/1820056862047277365#m,Baby monkey named after 'dedicated' volunteer https://bbc.in/4dqSh7e,"Aug 4, 2024 · 11:19 AM UTC",100,25
71,https://twitter.com/BBCNews/status/1820054819500933174#m,Rare moth spotted in West Sussex for first time https://bbc.in/4fwlcIL,"Aug 4, 2024 · 11:10 AM UTC",97,23
72,https://twitter.com/BBCNews/status/1820049575974961301#m,SQA results day 2024: When do results come out? https://bbc.in/3LPl7SS,"Aug 4, 2024 · 10:50 AM UTC",29,22
73,https://twitter.com/BBCNews/status/1820044336899272733#m,Plan for coastal wildlife viewing station approved https://bbc.in/4ftsjSv,"Aug 4, 2024 · 10:29 AM UTC",55,21
74,https://twitter.com/BBCNews/status/1820039224919265664#m,Why are blue tits nesting in cigarette bins? https://bbc.in/3LRMNGN,"Aug 4, 2024 · 10:09 AM UTC",40,34
75,https://twitter.com/BBCNews/status/1820034319504585178#m,Woman hospitalised after stabbing in Stirling https://bbc.in/46zT1VB,"Aug 4, 2024 · 9:49 AM UTC",261,118
76,https://twitter.com/BBCNews/status/1820033988070654271#m,Mercury retrograde: Does it really affect us? https://bbc.in/46wpBaO,"Aug 4, 2024 · 9:48 AM UTC",36,43
77,https://twitter.com/BBCNews/status/1820030612876435868#m,Where have all the wasps gone? https://bbc.in/3WvKpdJ,"Aug 4, 2024 · 9:34 AM UTC",228,292
78,https://twitter.com/BBCNews/status/1820029218958315809#m,Man in court after Dublin State buildings rammed https://bbc.in/3AmnM3W,"Aug 4, 2024 · 9:29 AM UTC",31,20
79,https://twitter.com/BBCNews/status/1820027970389495813#m,World's biggest iceberg spins in ocean trap https://bbc.in/3Mcggvz,"Aug 4, 2024 · 9:24 AM UTC",88,30
80,https://twitter.com/BBCBreaking/status/1820026442702377176#m,"""Mayhem"" at protests in several UK cities has made ""people frightened because of colour of their skin"", says UK policing minister    Follow live https://bbc.in/46zoozt","Aug 4, 2024 · 9:18 AM UTC",510,0
81,https://twitter.com/BBCNews/status/1820024768986284304#m,More than 90 arrests after violence at several protests organised by far-right https://bbc.in/3SzYB4v,"Aug 4, 2024 · 9:11 AM UTC",61,0
82,https://twitter.com/BBCNews/status/1820020344473723177#m,Jay Slater's funeral will 'celebrate his life' https://bbc.in/3YshtGl,"Aug 4, 2024 · 8:53 AM UTC",73,75
83,https://twitter.com/BBCNews/status/1820009925931602383#m,'Our streets are being used as a free car park' https://bbc.in/3LTjWSK,"Aug 4, 2024 · 8:12 AM UTC",124,86
84,https://twitter.com/BBCNews/status/1820009347960693148#m,Miss England waging war on body stereotypes https://bbc.in/4c6xxAE,"Aug 4, 2024 · 8:10 AM UTC",75,50
85,https://twitter.com/BBCBreaking/status/1819780064080187593#m,"UK's Home Secretary Yvette Cooper says ""thuggery has no place on Britain's streets"" after disorder at protests in several UK cities   Follow live https://bbc.in/4d7A66V","Aug 3, 2024 · 4:59 PM UTC",480,0
86,https://twitter.com/BBCNews/status/1819782850863943765#m,Motherwell held at home by Ross County https://bbc.in/4dwiT6H,"Aug 3, 2024 · 5:10 PM UTC",27,81
87,https://twitter.com/BBCNews/status/1819771034242834694#m,McClenaghan wins pommel horse gold at Olympics https://bbc.in/4fytrEg,"Aug 3, 2024 · 4:23 PM UTC",277,56
88,https://twitter.com/BBCSport/status/1819768982779425210#m,It's GOLD for Rhys McClenaghan and Team Ireland in the pommel horse final! 🥇  A stunning routine.  #Olympics #BBCOlympics #Paris2024,"Aug 3, 2024 · 4:15 PM UTC",2152,73
89,https://twitter.com/BBCNews/status/1819766422878200048#m,Canada Covid protesters cleared of plotting to kill police https://bbc.in/3Wy4AI5,"Aug 3, 2024 · 4:04 PM UTC",36,40
90,https://twitter.com/BBCNews/status/1819762314398052413#m,Laura Whitmore: I was gaslighted after raising Strictly concerns https://bbc.in/4d93GsL,"Aug 3, 2024 · 3:48 PM UTC",55,59
91,https://twitter.com/BBCNews/status/1819759563458961812#m,Mum's search in extreme heat for missing son in Italy https://bbc.in/3yoVcyt,"Aug 3, 2024 · 3:37 PM UTC",52,19
92,https://twitter.com/BBCNews/status/1819758444166975812#m,GB's Wilson wins bronze in women's IQFoil https://bbc.in/3ytt79d,"Aug 3, 2024 · 3:33 PM UTC",105,14
93,https://twitter.com/BBCNews/status/1819755340730155471#m,"Police separate rival protests, with pockets of disorder in several cities in England   Follow live: https://bbc.in/4dwCaVV","Aug 3, 2024 · 3:20 PM UTC",107,0
94,https://twitter.com/BBCNews/status/1819752830179156412#m,GB defy turbulent build-up to win dressage bronze https://bbc.in/3LOGmUS,"Aug 3, 2024 · 3:10 PM UTC",154,26
95,https://twitter.com/BBCNews/status/1819752038822977668#m,Britain's men win gold and women bronze in eights https://bbc.in/4fyNhiH,"Aug 3, 2024 · 3:07 PM UTC",126,11
